"Medicare Part D Prescriber PUF Drug List Summary, Calendar Years 2013 - 2023",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
,,,,,,
Drug Name,Generic Name,Opioid Flag,LA Opioid Flag,Antibiotic Flag,Antipsychotic Flag,NDC Conflict Flag
ABILIFY,ARIPIPRAZOLE,N,N,N,Y,N
ABILIFY ASIMTUFII,ARIPIPRAZOLE,N,N,N,Y,N
ABILIFY DISCMELT,ARIPIPRAZOLE,N,N,N,Y,N
ABILIFY MAINTENA,ARIPIPRAZOLE,N,N,N,Y,N
ABILIFY MYCITE,ARIPIPRAZOLE,N,N,N,Y,Y
ABSTRAL,FENTANYL CITRATE,Y,N,N,N,N
ACETAMIN-CAFF-DIHYDROCODEINE,ACETAMINOPHEN/CAFF/DIHYDROCOD,Y,N,N,N,Y
ACETAMINOPH-CAFF-DIHYDROCODEIN,DHCODEINE BT/ACETAMINOPHN/CAFF,Y,N,N,N,N
ACETAMINOPHEN-CODEINE,ACETAMINOPHEN WITH CODEINE,Y,N,N,N,N
ACTIQ,FENTANYL CITRATE,Y,N,N,N,N
ADOXA,DOXYCYCLINE MONOHYDRATE,N,N,Y,N,N
AEMCOLO,RIFAMYCIN SODIUM,N,N,Y,N,N
AMIKACIN SULFATE,AMIKACIN SULFATE,N,N,Y,N,N
AMOX TR-POTASSIUM CLAVULANATE,AMOXICILLIN/POTASSIUM CLAV,N,N,Y,N,N
AMOXICILLIN,AMOXICILLIN,N,N,Y,N,N
AMOXICILLIN-CLAVULANATE ER,AMOXICILLIN/POTASSIUM CLAV,N,N,Y,N,N
AMOXICILLIN-CLAVULANATE POT ER,AMOXICILLIN/POTASSIUM CLAV,N,N,Y,N,N
AMOXICILLIN-CLAVULANATE POTASS,AMOXICILLIN/POTASSIUM CLAV,N,N,Y,N,N
AMPICILLIN SODIUM,AMPICILLIN SODIUM,N,N,Y,N,N
AMPICILLIN TRIHYDRATE,AMPICILLIN TRIHYDRATE,N,N,Y,N,N
AMPICILLIN-SULBACTAM,AMPICILLIN SOD/SULBACTAM SOD,N,N,Y,N,N
AMPICILLIN-SULBACTAM,AMPICILLIN SODIUM/SULBACTAM NA,N,N,Y,N,N
ARIKAYCE,AMIKACIN LIPOSOMAL/NEB.ACCESSR,N,N,Y,N,N
ARIPIPRAZOLE,ARIPIPRAZOLE,N,N,N,Y,N
ARIPIPRAZOLE ODT,ARIPIPRAZOLE,N,N,N,Y,N
ARISTADA,ARIPIPRAZOLE LAUROXIL,N,N,N,Y,N
ARISTADA INITIO,"ARIPIPRAZOLE LAUROXIL,SUBMICR.",N,N,N,Y,N
ARYMO ER,MORPHINE SULFATE,Y,Y,N,N,N
ASA-BUTALB-CAFFEINE-CODEINE,CODEINE/BUTALBITAL/ASA/CAFFEIN,Y,N,N,N,N
ASCOMP WITH CODEINE,CODEINE/BUTALBITAL/ASA/CAFFEIN,Y,N,N,N,N
ASENAPINE MALEATE,ASENAPINE MALEATE,N,N,N,Y,N
ASPIRIN-CAFFEINE-DIHYDROCODEIN,ASPIRIN/CAFFEIN/DIHYDROCODEINE,Y,N,N,N,N
