"Part D Prescriber Grand Totals by Calendar Year, Calendar Years 2013 - 2023",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calendar Year,Total Claims,Total Standardized 30-Day Fills,Total Drug Cost,Total Beneficiaries,Total Prescribers,Total Claims for Beneficiaries  (Age 65+),Total Standardized 30-Day Fills for Beneficiaries (Age 65+),Total Drug Cost for Beneficiaries  (Age 65+),Total Beneficiaries (Age 65+),Total Claims for Brand Drugs,Total Drug Cost  for Brand Drugs,Total Claims for Generic Drugs,Total Drug Cost for Generic Drugs,Total Claims for Other Drugs,Total Drug Cost for Other Drugs,Total Claims for LIS Beneficiaries,Total Drug Cost for LIS Beneficiaries,Total Claims for NonLIS Beneficiaries,Total Drug Cost for NonLIS Beneficiaries,Total Claims for Antibiotic Drugs,Total Drug Cost  for Antibiotic Drugs,Total Beneficiaries for Antibiotic Drugs,Total Claims for Antipsychotic Drugs (Age 65+),Total Drug Cost for Antipsychotic Drugs  (Age 65+),Total Beneficiaries for Antipsychotic Drugs  (Age 65+),Total Claims for Opioid Drugs,Total Drug Cost  for Opioid Drugs,Total Beneficiaries for Opioid Drugs,Total Claims for LA Opioid Drugs,Total Drug Cost  for LA Opioid Drugs,Total Beneficiaries for LA Opioid Drugs
2013,1369064084,1906546578.5,103677954376,35096274,1345586,1046778123,1525717981.6,71055703972,28844738,316261834,77727629329,1041084375,25600299014,11717875,350026032.97,639977329,52122918259,729086755,51555036118,52387801,1735441099.2,19153467,10269957,1398894198.4,1218675,79920275,3483605334.8,13606102,10277974,1955742431.1,1322443
2014,1415081795,2021857763.2,121441230618,37138073,1348639,1083949522,1623616063.5,81974943780,30684181,306791184,92938343211,1096524149,28096215484,11766462,406671922.93,648517890,60930848057,766563905,60510382561,54234612,1777164625.4,20040751,10507149,1492003159.4,1250439,81389492,4048538223,14095702,10480353,2036146035,1330860
2015,1448169807,2116626285.9,137348663894,38895731,1376301,1111661483,1705983652.1,92530149850,32313139,299600459,107946280682,1136671320,28940072663,11898028,462310551.21,653913372,68719560346,794256435,68629103550,57299911,1804499168.4,21233932,10605799,1428505063.1,1276487,79860198,4134974941.1,14333609,10581299,2014373406.2,1329219
2016,1482060142,2226866103.1,146132548587,40520366,1407035,1145325101,1807365863.6,100250182870,33891817,285736433,115062100342,1184378928,30578075549,11944781,492372706.5,661475603,72476653007,820584539,73655895591,58116044,1789794454.5,21781527,10918967,1186664053.4,1313787,79161991,3955502909.4,14352653,10293071,1939971941.2,1265373
2017,1495403837,2324390337.1,154799171300,41966660,1440209,1165057980,1900808484,107531820963,35372151,272369614,122835156501,1210958773,31426657963,12075450,537356846.99,643311747,74958971600,852092090,79840199707,60259066,1831948289.5,22718080,11255422,1174261986.6,1372833,75881920,3440317290.8,14064897,9543460,1863843645.3,1174732
2018,1500627623,2429717125.2,168110071799,43521091,1483934,1180210866,2002896663,119157899728,36932617,261162757,135062272254,1227014997,32432159894,12449869,615639663.59,652403506,82410018868,848224117,85700052943,60445164,1998778592.9,23093345,11624962,1320800504,1439945,70559525,3137007097,13344671,8404577,1639120203.4,1025528
2019,1503141059,2534107643.2,183159506353,45065061,1525622,1196287276,2107865406.6,132354368318,38553139,252466558,148631527782,1238169601,33796553598,12504900,731424983.93,641059659,88148712970,862081400,95010793387,61991708,2322696294.7,23756056,11887957,1546119359.5,1504883,66483472,2827349013,12614548,7404712,1504576426.4,887648
2020,1497346670,2634496461.7,198631624378,46240133,1550923,1199200103,2205661286.4,145531799622,39881324,241314488,163278367343,1243612334,34585167434,12419848,768089612.67,626044518,93588421803,871302152,105043202581,54737640,2281261209.2,21464187,12318663,1759497223.1,1597863,63425756,2656844354,11796682,6748531,1405062978.2,789544
2021,1500045093,2699870171,215656278336,47644303,1600822,1213718160,2280840572.9,160298283722,41425664,229693491,180140624250,1258293439,34683245785,12058163,832408317.43,612091971,100765436577,887953122,114890841767,55829304,2286359308.7,22158352,12576777,1927932447.5,1666748,61510187,2580405346,12073407,6159997,1351530699.5,740621
2022,1543890687,2806580127.4,240372180263,49145835,1657654,1264245868,2393458119,180785751814,43092856,224324906,202166394318,1305064500,37280636950,14501281,925149022.77,627805069,114618617695,916085618,125753562583,61563765,2561315229.2,24256408,13177137,2255713447.6,1755079,60121742,2497725502.6,12158967,5706229,1312104042.6,694374
2023,1616937313,2949257572.1,275812762317,50817146,1703740,1339421030,2537163193.4,211164896694,44922067,240828804,234974046500,1361760513,39825922665,14347996,1012793161.1,658170976,131779398108,958766337,144033364224,65997533,2765565661.3,25726343,13985106,2417266782.3,1880722,59652827,2408771717.6,12389060,5369466,1254531709.8,670266
